MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area,Blk.QC,Rep,Background,Mass.Error.PPM,SN,SNFlag,ppmFlag,areaminFlag
Isoleucine_Pos,"L-Isoleucine, 15N",0.18414128485124087,0.08669722581070467,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,25238144,14244140.529203417,ok,210322_Smp_PPL_Aloha_B,3323102,-2.9,7.594754539583798,NA,NA,NA
Isoleucine_Pos,"L-Isoleucine, 15N",0.18414128485124087,0.08669722581070467,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,27225778,14159783.438944014,ok,210322_Smp_PPL_Aloha_C,3156826,-3.3,8.624415156236042,NA,NA,NA
Isoleucine_Pos,"L-Isoleucine, 15N",0.18414128485124087,0.08669722581070467,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,7321249,6814951.260959791,ok,210322_Smp_PPL_PS_A,2346955,-3.5,3.119467139335863,NA,NA,NA
Isoleucine_Pos,"L-Isoleucine, 15N",0.18414128485124087,0.08669722581070467,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,7589634,6376091.953637552,ok,210322_Smp_PPL_PS_B,2446731,-4.1,3.1019486817308484,NA,NA,NA
Isoleucine_Pos,"L-Isoleucine, 15N",0.18414128485124087,0.08669722581070467,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,6902117,5645609.904502986,ok,210322_Smp_PPL_PS_C,3421457,-3.3,2.017303447040252,NA,NA,NA
Ketoglutaric Acid_Neg,Inj_vol,0.499712850108795,0.499712850108795,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,1050235,1050235,ok,210322_Smp_PPL_Aloha_A,0,-0.9,NA,NA,NA,NA
Ketoglutaric Acid_Neg,Inj_vol,0.499712850108795,0.499712850108795,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,643978,643978,ok,210322_Smp_PPL_Aloha_B,0,-0.4,NA,NA,NA,NA
Ketoglutaric Acid_Neg,Inj_vol,0.499712850108795,0.499712850108795,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,959396,959396,ok,210322_Smp_PPL_Aloha_C,8704,-0.8,NA,NA,NA,NA
Ketoglutaric Acid_Neg,Inj_vol,0.499712850108795,0.499712850108795,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,660240,660240,ok,210322_Smp_PPL_PS_A,328533,-1.1,NA,NA,NA,NA
Ketoglutaric Acid_Neg,Inj_vol,0.499712850108795,0.499712850108795,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,480383,480383,ok,210322_Smp_PPL_PS_B,270965,-2.3,NA,NA,NA,NA
Ketoglutaric Acid_Neg,Inj_vol,0.499712850108795,0.499712850108795,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,1037340,1037340,ok,210322_Smp_PPL_PS_C,0,-2,NA,NA,NA,NA
Leucine_Pos,"L-Isoleucine, 15N",0.14002603635829905,0.10291317814089616,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,19191748,10510593.742622055,ok,210322_Smp_PPL_Aloha_A,2004735,-2.9,9.573209426682329,NA,NA,NA
Leucine_Pos,"L-Isoleucine, 15N",0.14002603635829905,0.10291317814089616,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,17608838,9938241.220431156,ok,210322_Smp_PPL_Aloha_B,1776810,-2.9,9.910366330671259,NA,NA,NA
Leucine_Pos,"L-Isoleucine, 15N",0.14002603635829905,0.10291317814089616,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,16529518,8596793.642779537,ok,210322_Smp_PPL_Aloha_C,3098815,-3.3,5.334141599288761,NA,NA,NA
Leucine_Pos,"L-Isoleucine, 15N",0.14002603635829905,0.10291317814089616,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,5648388,5257776.224110141,ok,210322_Smp_PPL_PS_A,1257741,-3.5,4.490899159683909,NA,NA,NA
Leucine_Pos,"L-Isoleucine, 15N",0.14002603635829905,0.10291317814089616,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,6378525,5358632.831118861,ok,210322_Smp_PPL_PS_B,1659683,-4.2,3.8432188556489404,NA,NA,NA
Leucine_Pos,"L-Isoleucine, 15N",0.14002603635829905,0.10291317814089616,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,6536784,5346784.543640256,ok,210322_Smp_PPL_PS_C,1608564,-3.3,4.063738837870299,NA,NA,NA
N-Acetylmuramic acid_Pos,"Sucrose, 13C",0.12055430195227591,0.0947133628456377,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,245885,212438.86278828155,ok,210322_Smp_PPL_Aloha_A,0,-0.7,Inf,NA,NA,NA
N-Acetylmuramic acid_Pos,"Sucrose, 13C",0.12055430195227591,0.0947133628456377,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,264571,217871.90964984315,ok,210322_Smp_PPL_Aloha_B,0,-0.6,Inf,NA,NA,NA
N-Acetylmuramic acid_Pos,"Sucrose, 13C",0.12055430195227591,0.0947133628456377,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,348723,308640.36469355307,ok,210322_Smp_PPL_Aloha_C,0,-2.1,Inf,NA,NA,NA
N-Acetylmuramic acid_Pos,"Sucrose, 13C",0.12055430195227591,0.0947133628456377,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,211859,181870.50257350772,ok,210322_Smp_PPL_PS_A,0,-1.8,Inf,NA,NA,NA
N-Acetylmuramic acid_Pos,"Sucrose, 13C",0.12055430195227591,0.0947133628456377,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,230998,214649.9117518528,ok,210322_Smp_PPL_PS_B,0,-1.7,Inf,NA,NA,NA
N-Acetylmuramic acid_Pos,"Sucrose, 13C",0.12055430195227591,0.0947133628456377,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,239376,207722.958566926,ok,210322_Smp_PPL_PS_C,0,-1.6,Inf,NA,NA,NA
PQS_Pos,Inj_vol,0.11610555463391647,0.11610555463391647,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,113904,113904,ok,210322_Smp_PPL_Aloha_C,0,-2.3,Inf,NA,NA,NA
PQS_Pos,Inj_vol,0.11610555463391647,0.11610555463391647,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,213471,213471,ok,210322_Smp_PPL_PS_A,0,10,Inf,NA,ppmFlag,NA
PQS_Pos,Inj_vol,0.11610555463391647,0.11610555463391647,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,47007,47007,ok,210322_Smp_PPL_PS_B,0,2,Inf,NA,NA,NA
PQS_Pos,Inj_vol,0.11610555463391647,0.11610555463391647,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,94830,94830,ok,210322_Smp_PPL_PS_C,0,2.8,Inf,NA,NA,NA
Resorcylic Acid_Neg,Inj_vol,0.4362547752830231,0.4362547752830231,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,240010,240010,ok,210322_Smp_PPL_PS_A,0,-0.6,NA,NA,NA,NA
Resorcylic Acid_Neg,Inj_vol,0.4362547752830231,0.4362547752830231,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,176803,176803,ok,210322_Smp_PPL_PS_B,0,-0.5,NA,NA,NA,NA
Resorcylic Acid_Neg,Inj_vol,0.4362547752830231,0.4362547752830231,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,374452,374452,ok,210322_Smp_PPL_PS_C,0,-1.4,NA,NA,NA,NA
Salicylic Acid_Neg,Inj_vol,0.07771857799118831,0.07771857799118831,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,641018,641018,ok,210322_Smp_PPL_Aloha_A,0,-1.8,NA,NA,NA,NA
Salicylic Acid_Neg,Inj_vol,0.07771857799118831,0.07771857799118831,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,647852,647852,ok,210322_Smp_PPL_Aloha_B,11142,-1.5,NA,NA,NA,NA
Salicylic Acid_Neg,Inj_vol,0.07771857799118831,0.07771857799118831,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,670245,670245,ok,210322_Smp_PPL_Aloha_C,20991,-1.8,NA,NA,NA,NA
Salicylic Acid_Neg,Inj_vol,0.07771857799118831,0.07771857799118831,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,704441,704441,ok,210322_Smp_PPL_PS_A,33828,-1.8,NA,NA,NA,NA
Salicylic Acid_Neg,Inj_vol,0.07771857799118831,0.07771857799118831,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,643855,643855,ok,210322_Smp_PPL_PS_B,0,-2.7,NA,NA,NA,NA
Salicylic Acid_Neg,Inj_vol,0.07771857799118831,0.07771857799118831,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,936888,936888,ok,210322_Smp_PPL_PS_C,0,-2.8,NA,NA,NA,NA
Trimethylamine N-oxide_Pos,Inj_vol,0.04504030861863366,0.04504030861863366,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,4703859,4703859,ok,210322_Smp_PPL_Aloha_A,0,1.7,Inf,NA,NA,NA
Trimethylamine N-oxide_Pos,Inj_vol,0.04504030861863366,0.04504030861863366,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,2933888,2933888,ok,210322_Smp_PPL_Aloha_B,0,1.6,Inf,NA,NA,NA
Trimethylamine N-oxide_Pos,Inj_vol,0.04504030861863366,0.04504030861863366,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,4664000,4664000,ok,210322_Smp_PPL_Aloha_C,0,1.3,Inf,NA,NA,NA
Trimethylamine N-oxide_Pos,Inj_vol,0.04504030861863366,0.04504030861863366,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,649619,649619,ok,210322_Smp_PPL_PS_A,0,1,Inf,NA,NA,NA
Trimethylamine N-oxide_Pos,Inj_vol,0.04504030861863366,0.04504030861863366,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,649069,649069,ok,210322_Smp_PPL_PS_B,11558,0.4,56.157553209897905,NA,NA,NA
Trimethylamine N-oxide_Pos,Inj_vol,0.04504030861863366,0.04504030861863366,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,778138,778138,ok,210322_Smp_PPL_PS_C,0,1,Inf,NA,NA,NA
Tyrosine_Pos,"Thymine, D4",0.13520886089535858,0.09820287378331229,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,2274976,2060784.0111909923,ok,210322_Smp_PPL_Aloha_A,297504,-2.2,7.646875336129934,NA,NA,NA
Tyrosine_Pos,"Thymine, D4",0.13520886089535858,0.09820287378331229,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,2629352,2361528.5191765954,ok,210322_Smp_PPL_Aloha_B,94273,-2,27.890827702523524,NA,NA,NA
