MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Poo_TruePoo_Full2,210329,Poo,TruePoo,Full2,39534,39534
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Poo_TruePoo_Full3,210329,Poo,TruePoo,Full3,25038,25038
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Poo_TruePoo_Half1,210329,Poo,TruePoo,Half1,NA,NA
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Poo_TruePoo_Half2,210329,Poo,TruePoo,Half2,NA,NA
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Poo_TruePoo_Half3,210329,Poo,TruePoo,Half3,2808,5616
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Smp_Aloha_A,210329,Smp,Aloha,A,72572,72572
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Smp_Aloha_B,210329,Smp,Aloha,B,86946,86946
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Smp_Aloha_C,210329,Smp,Aloha,C,124028,124028
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Smp_Mort_Test_A,210329,Smp,Mort,Test,111994,111994
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Smp_Mort_Test_B,210329,Smp,Mort,Test,98099,98099
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Smp_PS_A,210329,Smp,PS,A,12288,12288
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Smp_PS_B,210329,Smp,PS,B,27918,27918
3OC8-HSL,Inj_vol,0.5773627688068389,0.5773627688068389,210329_Smp_PS_C,210329,Smp,PS,C,15696,15696.000000000002
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Poo_TruePoo_Full1,210329,Poo,TruePoo,Full1,10956,10956
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Poo_TruePoo_Full2,210329,Poo,TruePoo,Full2,NA,NA
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Poo_TruePoo_Full3,210329,Poo,TruePoo,Full3,15803,15803
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Poo_TruePoo_Half1,210329,Poo,TruePoo,Half1,NA,NA
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Poo_TruePoo_Half2,210329,Poo,TruePoo,Half2,NA,NA
3OHC12-HSL,Inj_vol,0.5340175646848415,0.5340175646848415,210329_Poo_TruePoo_Half3,210329,Poo,TruePoo,Half3,2326,4652
