MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Poo_TruePoo_Half2,210322,Poo,TruePoo,Half2,715376,1430752
Cysteic Acid_Neg,Inj_vol,0.0636415112533585,0.0636415112533585,210322_Poo_TruePoo_Half3,210322,Poo,TruePoo,Half3,801158,1602316
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Blk_PPL_Blank_A,210322,Blk,PPL,Blank,0,0
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Blk_PPL_Blank_B,210322,Blk,PPL,Blank,0,0
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Blk_PPL_Blank_C,210322,Blk,PPL,Blank,0,0
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,13614,13614
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,0,0
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,0,0
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,0,0
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,0,0
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,0,0
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Poo_TruePoo_Full1,210322,Poo,TruePoo,Full1,447185,447185
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Poo_TruePoo_Full2,210322,Poo,TruePoo,Full2,403914,403914
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Poo_TruePoo_Full3,210322,Poo,TruePoo,Full3,478253,478253
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Poo_TruePoo_Half1,210322,Poo,TruePoo,Half1,158207,316414
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Poo_TruePoo_Half2,210322,Poo,TruePoo,Half2,124741,249482
Cysteinesulfinic acid_Neg,Inj_vol,0.22670526833303664,0.22670526833303664,210322_Poo_TruePoo_Half3,210322,Poo,TruePoo,Half3,220137,440274
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Blk_PPL_Blank_A,210322,Blk,PPL,Blank,0,0
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Blk_PPL_Blank_B,210322,Blk,PPL,Blank,0,0
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Blk_PPL_Blank_C,210322,Blk,PPL,Blank,0,0
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,0,0
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,0,0
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,0,0
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,0,0
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,0,0
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,0,0
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Poo_TruePoo_Full1,210322,Poo,TruePoo,Full1,284945,284945
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Poo_TruePoo_Full2,210322,Poo,TruePoo,Full2,291659,291659
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Poo_TruePoo_Full3,210322,Poo,TruePoo,Full3,302400,302400
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Poo_TruePoo_Half1,210322,Poo,TruePoo,Half1,132692,265384
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Poo_TruePoo_Half2,210322,Poo,TruePoo,Half2,137979,275958
Cysteinesulfinic acid_Pos,Inj_vol,0.049863174079609475,0.049863174079609475,210322_Poo_TruePoo_Half3,210322,Poo,TruePoo,Half3,134752,269504
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Blk_PPL_Blank_A,210322,Blk,PPL,Blank,26824,26824
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Blk_PPL_Blank_B,210322,Blk,PPL,Blank,0,0
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Blk_PPL_Blank_C,210322,Blk,PPL,Blank,0,0
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,13749,13749
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,3773,3773
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,8113,8113
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,0,0
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,0,0
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,3934,3934
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Poo_TruePoo_Full1,210322,Poo,TruePoo,Full1,611485,611485
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Poo_TruePoo_Full2,210322,Poo,TruePoo,Full2,578078,578078
Cystine_Pos,Inj_vol,0.20129792234453042,0.20129792234453042,210322_Poo_TruePoo_Full3,210322,Poo,TruePoo,Full3,640631,640631
