Compound,210329_Std_250nMStdsInH2O_1,210329_Std_250nMStdsInH2O_2,210329_Std_250nMStdsInMatrix_1,210329_Std_250nMStdsInMatrix_2,210329_Std_H2OInMatrix_1,210329_Std_H2OInMatrix_2,210329_Blk_Blank1_A,210329_Blk_Blank1_B,210329_Blk_Blank1_C,210329_Blk_Blank2_A,210329_Blk_Blank2_B,210329_Blk_Blank2_C,210329_Blk_Blank3_A,210329_Blk_Blank3_B,210329_Blk_Blank3_C,210329_Blk_PPL_Blank_A,210329_Blk_PPL_Blank_B,210329_Blk_PPL_Blank_C,210329_Poo_TruePoo_Full1,210329_Poo_TruePoo_Full2,210329_Poo_TruePoo_Full3,210329_Poo_TruePoo_Half1,210329_Poo_TruePoo_Half2,210329_Poo_TruePoo_Half3,210329_Smp_Aloha_A,210329_Smp_Aloha_B,210329_Smp_Aloha_C,210329_Smp_Mort_Test_A,210329_Smp_Mort_Test_B,210329_Smp_PPL_Aloha_A,210329_Smp_PPL_Aloha_B,210329_Smp_PPL_Aloha_C,210329_Smp_PPL_PS_A,210329_Smp_PPL_PS_B,210329_Smp_PPL_PS_C,210329_Smp_PS_A,210329_Smp_PS_B,210329_Smp_PS_C
Tryptophol,7004594,10715483,7323170,9644317,233605,221593,1580890,1491139,1915677,210612,400987,420781,21288,106523,176393,0,7591,12927,267275,206454,165858,88329,142336,138098,712916,592108,937298,211612,222610,78215,116341,33852,168393,168594,9246,710565,866969,686955
Tyrosine,699506,1361748,8968518,9971334,8001366,9438930,710070,574531,910274,715982,760324,1028482,474664,830102,902786,20974,149976,243218,11069762,14033185,11726484,5826167,7368425,6462260,3879592,3066982,2479372,1644695,2110072,3963655,4854628,4244958,1952562,1815601,1745398,1999666,1854057,2531475
Vanillic Acid,536543,735365,547593,644872,17068,86925,58596,54924,38342,261073,262765,287696,51180,29513,54103,11505,24397,9495,42654,13508,98737,20026,34558,48061,30894,39565,23101,31017,12453,57106,37659,26740,65967,170673,93415,187496,159785,18626
Vanillin,11343278,19084612,13344402,21228690,685184,940450,795403,1463571,1155496,824188,459213,683364,1599577,1495902,1830298,1063544,1025575,1003648,1026739,1314868,1215166,484963,737908,600535,1520335,1504117,1206225,280588,104958,593209,737361,631792,1246509,1423819,1683963,1961510,2047271,1234664
Vitamin B1,40450720,45079004,25765200,39137188,6029,6507,9921,NA,NA,2799,NA,NA,2660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16352,NA,70324,72473,39837,22054,6067,18375,NA,12549,NA
Vitamin B2,20179678,25518660,18974306,27097676,18425,8813,8729,15089,13259,23572,26584,28626,31793,20042,17967,10789,24459,28970,5569,16644,2417,18716,6473,16991,5323,6585,14205,18918,11834,35437,54184,57264,66574,47298,66811,55804,14260,19381
Vitamin B3,35436196,52626736,65890096,86033792,7441434,8554983,2150414,4058088,4568934,7340524,9573678,1321510,27721828,13665890,93208648,24814,38724,69509,9378895,10891193,9576438,5403546,6726714,6108122,2699357,1560116,1113542,25696366,5115528,233921,111276,83046,308488,114977,248721,7592827,9140967,2940205
Vitamin B5,14397929,18014092,16616269,23795924,189893,52207,6217,1340,8111,4281,8136,0,0,3335,1199,0,0,4481,118786,154486,44661,60402,93723,10821,904476,298597,6301,1231996,112366,325049,380313,386951,1415697,1052754,1243570,1013399,361802,46857
Vitamin B6,139147808,157133104,92011056,108708232,341271,266122,574637,516621,480095,481716,408217,394880,408241,403693,606311,0,0,8787,372709,399867,331011,211622,278110,270313,734342,629207,687226,854425,1128937,409183,379954,392562,324172,415489,316515,461353,678189,620977
Vitamin B7,16707499,21322880,15668355,21644866,75144,39484,156186,69672,27960,33294,81265,67776,14826,13048,29265,183667,53624,76789,28711,14123,58411,7310,13296,63158,31336,17929,41178,12278,96411,41687,53752,121429,81572,145288,14439,22420,18345,14333
Vitamin B9,1535996,2272434,1094832,1864850,1970,NA,NA,2426,3147,NA,NA,NA,NA,2994,3555,NA,NA,NA,NA,2131,1764,NA,NA,NA,2117,3089,2299,NA,NA,6554,5956,6076,7884,5922,15626,NA,2081,2570
Vitamin D2,1996609,694339,2334727,1516846,11651,13882,4335,25367,13580,9001,8443,12387,6366,16702,11275,14484,7722,18021,9907,15170,12764,5853,14947,6065,13988,8232,9965,5951,7328,4527,16405,22468,9336,9067,12692,6351,3725,3925
Vitamin K1,1054999,276800,1583379,1104105,NA,1863,1798,2118,NA,1490,1799,1925,NA,2018,1705,1953,NA,1825,NA,NA,NA,NA,1872,NA,NA,NA,1980,2050,1635,NA,NA,1598,NA,1477,NA,2423,NA,1804
Vitamin K2,4888967,1190503,6219975,4435554,1761,2062,NA,NA,NA,1809,2231,2181,NA,NA,NA,NA,NA,1851,NA,2026,NA,NA,1784,NA,NA,NA,NA,2093,1590,2425,2381,NA,2065,NA,NA,1745,1813,NA
Xanthine,6038955,10414851,5510876,9420801,176672,102494,194822,78873,97314,62632,111519,100660,4138,32537,92158,0,0,0,102396,426911,107480,38343,204791,117651,154885,172203,115760,78101,153216,3895,16184,17233,69554,10379,74175,192200,165348,202288
