Rep,Compound,Area
210322_Blk_Blank6_C,"DL-Histidine, 15N",7948
210322_Blk_Blank7_A,"DL-Histidine, 15N",4886
210322_Blk_Blank7_B,"DL-Histidine, 15N",NA
210322_Blk_Blank7_C,"DL-Histidine, 15N",47007
210322_Smp_C_1mL_NS_A,"DL-Histidine, 15N",5644247
210322_Smp_C_1mL_NS_B,"DL-Histidine, 15N",14743098
210322_Smp_C_1mL_NS_C,"DL-Histidine, 15N",16956410
210322_Smp_C_1mL_SAf_A,"DL-Histidine, 15N",9280712
210322_Smp_C_1mL_SAf_B,"DL-Histidine, 15N",22725708
210322_Smp_C_1mL_SAf_C,"DL-Histidine, 15N",24754644
210322_Smp_C_1mL_SBe_A,"DL-Histidine, 15N",72539768
210322_Smp_C_1mL_SBe_B,"DL-Histidine, 15N",65756668
210322_Smp_C_1mL_SBe_C,"DL-Histidine, 15N",67842736
210322_Blk_PPL_Blank_A,"DL-Histidine, 15N",74175
210322_Blk_PPL_Blank_B,"DL-Histidine, 15N",36556
210322_Blk_PPL_Blank_C,"DL-Histidine, 15N",13455
210322_Smp_PPL_Aloha_A,"DL-Histidine, 15N",12574
210322_Smp_PPL_Aloha_B,"DL-Histidine, 15N",4163
210322_Smp_PPL_Aloha_C,"DL-Histidine, 15N",NA
210322_Smp_PPL_PS_A,"DL-Histidine, 15N",NA
210322_Smp_PPL_PS_B,"DL-Histidine, 15N",5479
210322_Smp_PPL_PS_C,"DL-Histidine, 15N",48173
210322_Blk_Blank6_A,"DL-Proline, D7",9508
210322_Blk_Blank6_B,"DL-Proline, D7",NA
210322_Blk_Blank6_C,"DL-Proline, D7",NA
210322_Blk_Blank7_A,"DL-Proline, D7",NA
210322_Blk_Blank7_B,"DL-Proline, D7",NA
210322_Blk_Blank7_C,"DL-Proline, D7",NA
210322_Smp_C_1mL_NS_A,"DL-Proline, D7",13277430
210322_Smp_C_1mL_NS_B,"DL-Proline, D7",21083070
210322_Smp_C_1mL_NS_C,"DL-Proline, D7",17500996
210322_Smp_C_1mL_SAf_A,"DL-Proline, D7",18626886
210322_Smp_C_1mL_SAf_B,"DL-Proline, D7",23056536
210322_Smp_C_1mL_SAf_C,"DL-Proline, D7",18927460
210322_Smp_C_1mL_SBe_A,"DL-Proline, D7",32747870
210322_Smp_C_1mL_SBe_B,"DL-Proline, D7",31723316
210322_Smp_C_1mL_SBe_C,"DL-Proline, D7",32793886
210322_Blk_PPL_Blank_A,"DL-Proline, D7",82969
210322_Blk_PPL_Blank_B,"DL-Proline, D7",101562
210322_Blk_PPL_Blank_C,"DL-Proline, D7",18243
210322_Smp_PPL_Aloha_A,"DL-Proline, D7",254055
210322_Smp_PPL_Aloha_B,"DL-Proline, D7",115413
210322_Smp_PPL_Aloha_C,"DL-Proline, D7",327102
210322_Smp_PPL_PS_A,"DL-Proline, D7",109312
210322_Smp_PPL_PS_B,"DL-Proline, D7",163654
210322_Smp_PPL_PS_C,"DL-Proline, D7",25591
210322_Blk_Blank6_A,"DL-Valine, D8",NA
210322_Blk_Blank6_B,"DL-Valine, D8",NA
210322_Blk_Blank6_C,"DL-Valine, D8",NA
210322_Blk_Blank7_A,"DL-Valine, D8",NA
210322_Blk_Blank7_B,"DL-Valine, D8",NA
210322_Blk_Blank7_C,"DL-Valine, D8",NA
210322_Smp_C_1mL_NS_A,"DL-Valine, D8",4607825
210322_Smp_C_1mL_NS_B,"DL-Valine, D8",7283993
210322_Smp_C_1mL_NS_C,"DL-Valine, D8",6320714
210322_Smp_C_1mL_SAf_A,"DL-Valine, D8",5940362
210322_Smp_C_1mL_SAf_B,"DL-Valine, D8",8117028
210322_Smp_C_1mL_SAf_C,"DL-Valine, D8",6177334
210322_Smp_C_1mL_SBe_A,"DL-Valine, D8",12938154
210322_Smp_C_1mL_SBe_B,"DL-Valine, D8",13304798
210322_Smp_C_1mL_SBe_C,"DL-Valine, D8",13588216
210322_Blk_PPL_Blank_A,"DL-Valine, D8",677715
210322_Blk_PPL_Blank_B,"DL-Valine, D8",674463
210322_Blk_PPL_Blank_C,"DL-Valine, D8",449599
210322_Smp_PPL_Aloha_A,"DL-Valine, D8",1441458
210322_Smp_PPL_Aloha_B,"DL-Valine, D8",1172245
210322_Smp_PPL_Aloha_C,"DL-Valine, D8",1528736
210322_Smp_PPL_PS_A,"DL-Valine, D8",730257
210322_Smp_PPL_PS_B,"DL-Valine, D8",857239
210322_Smp_PPL_PS_C,"DL-Valine, D8",775745
210322_Blk_Blank6_A,"L-Isoleucine, 15N",NA
210322_Blk_Blank6_B,"L-Isoleucine, 15N",NA
210322_Blk_Blank6_C,"L-Isoleucine, 15N",NA
210322_Blk_Blank7_A,"L-Isoleucine, 15N",NA
210322_Blk_Blank7_B,"L-Isoleucine, 15N",NA
210322_Blk_Blank7_C,"L-Isoleucine, 15N",NA
210322_Smp_C_1mL_NS_A,"L-Isoleucine, 15N",2554260
210322_Smp_C_1mL_NS_B,"L-Isoleucine, 15N",3730719
210322_Smp_C_1mL_NS_C,"L-Isoleucine, 15N",3283549
210322_Smp_C_1mL_SAf_A,"L-Isoleucine, 15N",3915528
210322_Smp_C_1mL_SAf_B,"L-Isoleucine, 15N",5101791
210322_Smp_C_1mL_SAf_C,"L-Isoleucine, 15N",4173196
210322_Smp_C_1mL_SBe_A,"L-Isoleucine, 15N",8266105
210322_Smp_C_1mL_SBe_B,"L-Isoleucine, 15N",8062903
210322_Smp_C_1mL_SBe_C,"L-Isoleucine, 15N",8716705
210322_Blk_PPL_Blank_A,"L-Isoleucine, 15N",5426159
210322_Blk_PPL_Blank_B,"L-Isoleucine, 15N",6051015
210322_Blk_PPL_Blank_C,"L-Isoleucine, 15N",4984742
210322_Smp_PPL_Aloha_A,"L-Isoleucine, 15N",9668371
210322_Smp_PPL_Aloha_B,"L-Isoleucine, 15N",9381822
210322_Smp_PPL_Aloha_C,"L-Isoleucine, 15N",10180983
210322_Smp_PPL_PS_A,"L-Isoleucine, 15N",5688378
210322_Smp_PPL_PS_B,"L-Isoleucine, 15N",6302782
210322_Smp_PPL_PS_C,"L-Isoleucine, 15N",6473475
210322_Blk_Blank6_A,"L-Methionine, D3",29627
210322_Blk_Blank6_B,"L-Methionine, D3",57558
210322_Blk_Blank6_C,"L-Methionine, D3",55793
210322_Blk_Blank7_A,"L-Methionine, D3",65076
210322_Blk_Blank7_B,"L-Methionine, D3",109377
210322_Blk_Blank7_C,"L-Methionine, D3",15981
210322_Smp_C_1mL_NS_A,"L-Methionine, D3",277163
210322_Smp_C_1mL_NS_B,"L-Methionine, D3",74773
210322_Smp_C_1mL_NS_C,"L-Methionine, D3",419248
210322_Smp_C_1mL_SAf_A,"L-Methionine, D3",300958
210322_Smp_C_1mL_SAf_B,"L-Methionine, D3",538653
210322_Smp_C_1mL_SAf_C,"L-Methionine, D3",643811
210322_Smp_C_1mL_SBe_A,"L-Methionine, D3",163159
210322_Smp_C_1mL_SBe_B,"L-Methionine, D3",811979
210322_Smp_C_1mL_SBe_C,"L-Methionine, D3",174777
