MF,Fraction,mz,Retention_time,annotation,method,210329_Smp_PS_A,210329_Smp_PS_B,210329_Smp_PS_C,210329_Smp_PPL_Aloha_A,210329_Smp_PPL_Aloha_B,210329_Smp_PPL_Aloha_C,210329_Smp_PPL_PS_A,210329_Smp_PPL_PS_B,210329_Smp_PPL_PS_C,210329_Smp_Aloha_A,210329_Smp_Aloha_B,210329_Smp_Aloha_C,210322_Smp_PPL_PS_A,210322_Smp_PPL_PS_B,210322_Smp_PPL_PS_C,210322_Smp_Aloha_A,210322_Smp_Aloha_B,210322_Smp_Aloha_C,210322_Smp_PS_A,210322_Smp_PS_B,210322_Smp_PS_C,210322_Smp_PPL_Aloha_A,210322_Smp_PPL_Aloha_B,210322_Smp_PPL_Aloha_C
2173_HILICNeg,HILICNeg,301.68365,8.215,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74302,50502,783184,NA,NA,NA,NA,NA,NA
2203_HILICNeg,HILICNeg,306.01364,9.282,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768592,147294,1378620,NA,NA,NA,NA,NA,NA
2256_HILICNeg,HILICNeg,314.87747,14.914,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3053690,3278594,8926264,NA,NA,NA,NA,NA,NA,24834946,1433874,14006160
2262_HILICNeg,HILICNeg,316.73975,4.926,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3428452,2366886,5189052,4653042,2874564,31910,NA,NA,NA
2262_HILICNeg,HILICNeg,316.73975,4.926,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2027438,912476,2886690,NA,NA,NA,NA,NA,NA,20681412,19949896,14005040
2267_HILICNeg,HILICNeg,317.12494,2.248,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2831958,1935280,1486626,NA,NA,NA,NA,NA,NA,1788238,1828006,2210712
2294_HILICNeg,HILICNeg,328.04553,6.871,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2387982,2216030,1328476,NA,NA,NA,NA,NA,NA,NA,NA,NA
2298_HILICNeg,HILICNeg,329.09308,2.255,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,943020,978670,872246,NA,NA,NA,NA,NA,NA,854108,1005142,970536
2337_HILICNeg,HILICNeg,338.99255,2.907,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4233974,8808044,30918396,NA,NA,NA
2374_HILICNeg,HILICNeg,347.15048,2.264,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2098170,2180126,1212272,NA,NA,NA,NA,NA,NA,1411934,1337478,1012078
