Mass Feature,Analysis Fraction,m/z,Retention Time (min),CX-SPE - Aloha,CX-SPE - PS,PPL - Aloha,PPL - PS,Tentative Compound ID
1866_RP,RP,162.11243,0.739,11483000,9194900,501020,435280,unknown
717_HILICPos,HILICPos,162.1125,9.779,18659000,14172000,    ND,    ND,unknown
1873_RP,RP,162.58347,2.221,709880,    ND,1090100,    ND,unknown
1883_RP,RP,163.03896,3.537,    ND,    ND,    ND,847610,unknown
1902_RP,RP,163.0867,2.526,    ND,    ND,1045000,    ND,unknown
1903_RP,RP,163.09657,1.09,    ND,    ND,1022900,573270,unknown
1906_RP,RP,163.13277,2.959,    ND,    ND,    ND,72446000,unknown
1930_RP,RP,163.96239,0.73,    ND,1008600,    ND,    ND,unknown
1932_RP,RP,163.99318,0.696,243210,    ND,861970,    ND,unknown
736_HILICPos,HILICPos,164.07077,2.259,    ND,    ND,4541700,5256500,unknown
1969_RP,RP,165.05481,1,    ND,    ND,2186900,1355900,unknown
742_HILICPos,HILICPos,165.05482,8.988,2548100,    ND,    ND,    ND,unknown
1972_RP,RP,165.07399,4.79,    ND,    ND,747750,885680,unknown
1973_RP,RP,165.07591,0.909,    ND,    ND,3426300,    ND,unknown
1983_RP,RP,165.11224,1.204,    ND,    ND,3268700,    ND,unknown
2002_RP,RP,166.05319,0.7,2191200,901030,    ND,    ND,unknown
755_HILICPos,HILICPos,166.05334,9.277,3436100,1566100,    ND,    ND,L-Methionine S-oxide
2007_RP,RP,166.08629,4.75,    ND,    ND,7658200,12385000,unknown
2008_RP,RP,166.0863,0.909,    ND,    ND,1506200,7390000,unknown
2009_RP,RP,166.08633,1.133,9623600,8540400,24792000,24689000,L-Phenylalanine
756_HILICPos,HILICPos,166.0864,5.335,    ND,    ND,51876000,46033000,unknown
2012_RP,RP,166.08644,0.991,    ND,    ND,1914800,7399200,unknown
757_HILICPos,HILICPos,166.0865,2.248,    ND,    ND,6944900,11644000,unknown
2015_RP,RP,166.10742,0.728,5102100,1775500,    ND,    ND,unknown
2019_RP,RP,166.1227,1.251,    ND,    ND,    ND,2086100,unknown
762_HILICPos,HILICPos,166.12273,3.911,    ND,    ND,    ND,2528100,Hordenine
2051_RP,RP,167.10669,6.254,    ND,    ND,    ND,7089800,unknown
2057_RP,RP,167.10678,4.468,    ND,    ND,2453800,7331600,unknown
2058_RP,RP,167.10684,3.901,    ND,    ND,    ND,9392300,unknown
2061_RP,RP,167.10686,4.285,    ND,    ND,    ND,3834300,unknown
2071_RP,RP,167.54861,7.732,    ND,    ND,    ND,6865600,unknown
855_HILICNeg,HILICNeg,167.9966,2.563,    ND,82845000,    ND,    ND,unknown
2090_RP,RP,168.02538,0.682,    ND,    ND,    ND,6194600,unknown
2092_RP,RP,168.06322,1.075,    ND,    ND,2015600,1827600,unknown
2109_RP,RP,168.96646,0.665,387620,433780,    ND,    ND,unknown
2122_RP,RP,169.07204,0.745,10310000,10313000,    ND,    ND,unknown
789_HILICPos,HILICPos,169.07217,9.237,11808000,12334000,    ND,    ND,unknown
2123_RP,RP,169.07568,7.22,    ND,    ND,    ND,205690,unknown
791_HILICPos,HILICPos,169.08591,2.233,    ND,    ND,10097000,17928000,unknown
2126_RP,RP,169.08601,2.747,    ND,    ND,    ND,4522700,unknown
2129_RP,RP,169.08609,3.121,    ND,    ND,    ND,4552100,unknown
2136_RP,RP,169.12244,6.084,    ND,    ND,905670,3093200,unknown
2139_RP,RP,169.12247,6.881,    ND,    ND,    ND,967390,unknown
800_HILICPos,HILICPos,170.07132,2.264,    ND,    ND,2922800,3368000,unknown
2163_RP,RP,170.08124,0.909,    ND,    ND,1349400,658220,Pyridoxine
2170_RP,RP,170.1176,1.611,    ND,    ND,1134400,    ND,unknown
2171_RP,RP,170.1176,3.896,    ND,    ND,3311700,3525400,unknown
2207_RP,RP,171.09929,1.586,    ND,    ND,    ND,5300100,unknown
2208_RP,RP,171.10172,2.897,    ND,    ND,    ND,13958000,unknown
2209_RP,RP,171.10172,5.12,    ND,    ND,991640,1077700,unknown
2258_RP,RP,172.13316,1.588,    ND,    ND,    ND,6489600,unknown
2263_RP,RP,172.13326,1.931,    ND,    ND,641290,    ND,unknown
2276_RP,RP,172.56779,4.347,    ND,    ND,    ND, 97788,unknown
832_HILICPos,HILICPos,173.07103,2.286,    ND,    ND,1886900,2455700,unknown
2302_RP,RP,173.1174,2.849,    ND,    ND,    ND,1973800,unknown
2303_RP,RP,173.11743,4.612,    ND,    ND,1216400,2913400,unknown
839_HILICPos,HILICPos,173.11748,2.247,    ND,    ND,    ND,1667200,unknown
2308_RP,RP,173.16492,6.657,    ND,    ND,654290,    ND,unknown
2315_RP,RP,173.91589,0.686,323500,210180,2485200,1319500,unknown
843_HILICPos,HILICPos,174.05495,2.262,    ND,    ND,455410,755140,unknown
2331_RP,RP,174.082,0.821,1924600,    ND,    ND,    ND,unknown
2336_RP,RP,174.11244,2.294,    ND,    ND,659850,873340,unknown
2339_RP,RP,174.11255,0.901,    ND,    ND,    ND,477110,unknown
2340_RP,RP,174.11259,1.814,    ND,    ND,    ND,1456700,unknown
847_HILICPos,HILICPos,174.11264,2.254,    ND,    ND,4376800,    ND,unknown
2341_RP,RP,174.11266,1.924,    ND,    ND,    ND,13737000,unknown
848_HILICPos,HILICPos,174.12378,8.246,    ND,2372300,    ND,3665600,unknown
2342_RP,RP,174.12395,1.056,    ND,    ND,    ND,2158200,unknown
2355_RP,RP,174.87044,0.652, 25589, 31578,5914300,2677900,unknown
955_HILICNeg,HILICNeg,174.93701,14.942,    ND,    ND,9593100,11426000,unknown
2377_RP,RP,175.07549,6.052,    ND,    ND,    ND,761220,unknown
2382_RP,RP,175.09666000000001,3.564,    ND,    ND,459560,846680,unknown
858_HILICPos,HILICPos,175.10172,7.392,4718800,6055400,    ND,    ND,unknown
2387_RP,RP,175.11893,0.79,    ND,2501200,453600,1012600,unknown
2393_RP,RP,175.57303,5.123,    ND,    ND,738520,650850,unknown
2395_RP,RP,175.91321,0.693,189580,144450,1480500,1139500,unknown
967_HILICNeg,HILICNeg,175.93649,14.846,    ND,    ND,944390,965930,unknown
2397_RP,RP,175.95416,0.68,    ND,    ND,3127300,1327600,unknown
2398_RP,RP,175.97069,1.497,527780,273360,477360,    ND,unknown
862_HILICPos,HILICPos,176.0668,12.491,667570,    ND,    ND,    ND,unknown
863_HILICPos,HILICPos,176.07082,2.295,    ND,    ND,    ND,1227400,unknown
2414_RP,RP,176.09184,1.423,    ND,    ND,1684800,7243300,unknown
2415_RP,RP,176.10295,0.746,1883400,    ND,    ND,    ND,unknown
868_HILICPos,HILICPos,176.12831,10.663,    ND,5145000,    ND,    ND,unknown
2423_RP,RP,176.12833,3.104,    ND,    ND,    ND,3361800,unknown
869_HILICPos,HILICPos,176.13959,7.757,16298000,26396000,    ND,    ND,unknown
2431_RP,RP,176.55392,7.694,    ND,    ND,    ND,3972700,unknown
2434_RP,RP,176.86751,0.654,    ND,    ND,6042700,2773700,unknown
2441_RP,RP,177.05461,4.185,2771800,    ND,    ND,    ND,unknown
2449_RP,RP,177.08704,0.71,    ND,1250500,    ND,    ND,unknown
2456_RP,RP,177.11215,1.321,    ND,    ND,1278700,    ND,unknown
2461_RP,RP,177.12746,4.465,    ND,    ND,    ND,1319300,unknown
2467_RP,RP,177.94604,0.715,    ND,    ND,2192200,1054900,unknown
2475_RP,RP,178.08624,0.915,    ND,    ND,515140,299690,unknown
878_HILICPos,HILICPos,178.0864,2.213,    ND,    ND,2903200,3914500,unknown
2481_RP,RP,178.09955,6.297,    ND,    ND,268480,973170,unknown
2492_RP,RP,178.15912,4.017,    ND,    ND,1078100,862690,unknown
2497_RP,RP,178.86465,0.654,    ND,    ND,2426200,1018400,unknown
888_HILICPos,HILICPos,179.00508,7.591,4589600,    ND,    ND,    ND,Arsenobetaine
2517_RP,RP,179.05582,0.697,1703500,4675400,    ND,    ND,unknown
2518_RP,RP,179.06375,3.604,    ND,    ND,    ND,3236000,unknown
2519_RP,RP,179.06802,1.923,    ND,    ND,    ND,4346300,unknown
1006_HILICNeg,HILICNeg,179.07083,2.253,    ND,    ND,    ND,4258400,unknown
2522_RP,RP,179.07365,0.737,2661100,2971200,530150,282180,unknown
893_HILICPos,HILICPos,179.07365,11.076,5140500,8904900,    ND,    ND,Gonyol
894_HILICPos,HILICPos,179.08496,8.702,3001100,    ND,    ND,    ND,unknown
2526_RP,RP,179.09154,1.188,    ND,    ND,2338400,    ND,unknown
2533_RP,RP,179.10681,5.264,    ND,    ND,    ND,2961700,unknown
2550_RP,RP,179.93303,0.666,    ND,    ND,549310,297360,unknown
900_HILICPos,HILICPos,180.048,2.231,    ND,    ND,1377100,1753500,unknown
2561_RP,RP,180.07303,7.741,    ND,    ND,    ND,8966200,unknown
904_HILICPos,HILICPos,180.10211,2.233,    ND,    ND,12150000,12383000,unknown
2568_RP,RP,180.10214,0.966,    ND,4560900,    ND,7278900,unknown
2578_RP,RP,180.15941,2.958,    ND,    ND,    ND,7805600,unknown
2579_RP,RP,180.15945,1.224,    ND,    ND,    ND,2928400,unknown
2584_RP,RP,180.54393,7.683,    ND,    ND,    ND,567740,unknown
911_HILICPos,HILICPos,180.98901,2.914,    ND,7425200,    ND,    ND,unknown
1024_HILICNeg,HILICNeg,181.01378,12.329,    ND,    ND,    ND,6268400,unknown
1026_HILICNeg,HILICNeg,181.05022,2.253,    ND,    ND,    ND,3297200,unknown
919_HILICPos,HILICPos,181.07596,2.199,    ND,    ND,1955000,2695200,unknown
2606_RP,RP,181.08366,2.774,    ND,    ND,    ND,2129700,unknown
2607_RP,RP,181.08368,3.101,    ND,    ND,    ND,11881000,unknown
2608_RP,RP,181.08377,1.496,    ND,    ND,    ND,1663000,unknown
2616_RP,RP,181.12241,4.133,    ND,    ND,1383800,    ND,unknown
2618_RP,RP,181.1225,5.821,    ND,    ND,    ND,2673400,unknown
2619_RP,RP,181.12251,5.253,    ND,    ND,1985400,2347200,unknown
2627_RP,RP,181.92995,0.676,    ND,    ND,430900,217160,unknown
2633_RP,RP,182.03297,0.649,    ND,    ND,95637000,89692000,unknown
926_HILICPos,HILICPos,182.0813,9.076,    ND,    ND,3238900,1477700,unknown
2636_RP,RP,182.08134,0.98,3605900,    ND,5656000,2493300,unknown
2637_RP,RP,182.10248,1.014,    ND,    ND,2100800,    ND,unknown
931_HILICPos,HILICPos,182.15343,7.76,53279000,52229000,    ND,    ND,unknown
2659_RP,RP,182.19054,4.588,    ND,    ND,    ND,5713200,unknown
2665_RP,RP,182.58101,6.294,    ND,    ND,155010,311230,unknown
2667_RP,RP,182.85594,0.678, 16221,    ND,    ND,    ND,unknown
2668_RP,RP,182.89272,0.662,300730,    ND,    ND,    ND,unknown
2684_RP,RP,183.06311,0.945,    ND,    ND,714170,    ND,unknown
2694_RP,RP,183.10173,2.101,    ND,    ND,2190500,4895700,unknown
2695_RP,RP,183.10176,1.945,    ND,    ND,    ND,3282300,unknown
2698_RP,RP,183.10178,3.176,    ND,    ND,3861500,17065000,unknown
2699_RP,RP,183.10185,1.838,    ND,    ND,    ND,6175300,unknown
2700_RP,RP,183.11308,1.255,    ND,    ND,1694700,    ND,unknown
2717_RP,RP,183.96515,0.665,    ND,28100000,    ND,    ND,unknown
945_HILICPos,HILICPos,184.09695,2.237,    ND,    ND,5411900,6545600,unknown
2733_RP,RP,184.13322,1.255,    ND,    ND,1106200,    ND,unknown
2736_RP,RP,184.13326,5.267,    ND,    ND,491740,364510,unknown
2742_RP,RP,184.16945,6.446,    ND,    ND,    ND,10463000,unknown
2768_RP,RP,184.85419,0.677,    ND,    ND,    ND,651900,unknown
2769_RP,RP,184.89948,0.656,    ND,    ND,3308000,1313200,unknown
952_HILICPos,HILICPos,184.98009,12.776,    ND,    ND,    ND,1211000,unknown
2777_RP,RP,185.02348,5.986,    ND,    ND,2205900,    ND,unknown
2784_RP,RP,185.04208,0.686,    ND,    ND,11663000,6188300,unknown
954_HILICPos,HILICPos,185.08084,2.234,    ND,    ND,3036500,4065300,unknown
2789_RP,RP,185.08096,2.42,    ND,    ND,    ND,1660500,unknown
1082_HILICNeg,HILICNeg,185.08159,2.216,    ND,    ND,    ND,39635000,unknown
2791_RP,RP,185.09232,0.914,    ND,    ND,490750,687460,unknown
956_HILICPos,HILICPos,185.10013,2.233,    ND,    ND,3753200,4696600,unknown
2792_RP,RP,185.11478,2.958,    ND,    ND,    ND,15115000,unknown
957_HILICPos,HILICPos,185.11734,2.243,    ND,    ND,2771300,3797600,unknown
2798_RP,RP,185.11751,6.294,    ND,    ND,    ND,639100,unknown
2800_RP,RP,185.15382,7.389,    ND,    ND,21833000,24124000,unknown
2804_RP,RP,185.55728,5.565,    ND,    ND, 54517,    ND,unknown
2811_RP,RP,185.96094,0.659,    ND,1262300,    ND,    ND,unknown
2826_RP,RP,186.11256,1.233,    ND,    ND,2831900,1442300,unknown
2828_RP,RP,186.11275,0.911,    ND,    ND,713140,1014600,unknown
2851_RP,RP,186.89638,0.654,    ND,    ND,2564600,968770,unknown
2873_RP,RP,187.0941,1.203,    ND,    ND,2552900,    ND,unknown
2877_RP,RP,187.09676,3.247,    ND,    ND,1691500,5077600,unknown
1108_HILICNeg,HILICNeg,187.09711,2.341,    ND,    ND,    ND,7213400,unknown
2885_RP,RP,187.13303,6.107,    ND,    ND,2620800,6959400,unknown
982_HILICPos,HILICPos,188.03523,9.247,296890,    ND,    ND,    ND,unknown
2906_RP,RP,188.06181,7.735,    ND,    ND,    ND,144480000,unknown
984_HILICPos,HILICPos,188.07088,2.222,    ND,    ND,1196700,1093700,unknown
2927_RP,RP,188.12822,3.896,    ND,    ND,2119100,2465900,unknown
2932_RP,RP,188.12828,0.955,    ND,    ND,647290,685880,unknown
2936_RP,RP,188.1647,5.824,    ND,    ND,849970,1420300,unknown
2941_RP,RP,188.89377,0.711,    ND,    ND,682580,    ND,unknown
2942_RP,RP,188.96584,1.506,    ND,    ND,258020,    ND,unknown
2956_RP,RP,189.08698,0.906,    ND,    ND,821860,501980,unknown
2965_RP,RP,189.11212,5.122,    ND,    ND,827870,766750,unknown
2966_RP,RP,189.1234,0.775,1183000,2793100,    ND,    ND,unknown
2967_RP,RP,189.12341,0.901,    ND,1079800,    ND,1122200,unknown
2968_RP,RP,189.12346,1.112,811710,431330,1255900,823730,unknown
2974_RP,RP,189.58896,7.218,    ND,    ND,    ND,172160,unknown
2978_RP,RP,189.94984,1.502,    ND,    ND,138810,    ND,unknown
2992_RP,RP,190.05003,3.453,    ND,    ND,    ND,535400,unknown
2996_RP,RP,190.05823,7.737,    ND,    ND,    ND,3440400,unknown
1004_HILICPos,HILICPos,190.08641,2.249,    ND,    ND,    ND,2085200,unknown
3004_RP,RP,190.10762,2.01,    ND,    ND,3484200,12291000,unknown
3015_RP,RP,190.14388,2.855,    ND,    ND,    ND,1413700,unknown
3016_RP,RP,190.14397,4.739,    ND,    ND,569060,1459100,unknown
3019_RP,RP,190.84804,0.655,248360,168190,2623900,1492800,unknown
3035_RP,RP,191.05414,0.714,1522200,1829600,    ND,    ND,unknown
1011_HILICPos,HILICPos,191.05415,9.233,1857500,2285300,    ND,    ND,unknown
1012_HILICPos,HILICPos,191.07039,2.258,    ND,    ND,1460300,2778600,unknown
3045_RP,RP,191.09142,1.377,    ND,    ND,3160500,    ND,unknown
3047_RP,RP,191.10419,0.691,    ND,1160800,    ND,    ND,unknown
3061_RP,RP,191.13908,1.098,    ND,    ND,520620,584760,unknown
3069_RP,RP,191.92813,0.687,    ND,    ND,485860,306780,unknown
3070_RP,RP,191.94791,1.443,    ND,    ND,157820,    ND,unknown
1165_HILICNeg,HILICNeg,192.04248,2.218,    ND,    ND,    ND,2519600,unknown
1019_HILICPos,HILICPos,192.09573,2.264,    ND,    ND,6883600,4356700,unknown
3091_RP,RP,192.12299,0.764,1692200,    ND,3748300,    ND,unknown
3095_RP,RP,192.15953,0.846,    ND,    ND,    ND,1119100,unknown
3096_RP,RP,192.15979,1.559,    ND,    ND,    ND,606600,unknown
3102_RP,RP,192.84506,0.658,243470,179870,2506400,1271700,unknown
3103_RP,RP,192.88136,0.668,    ND,    ND,2061500,741640,unknown
1170_HILICNeg,HILICNeg,192.99763,12.788,    ND,    ND,    ND,1343700,unknown
3122_RP,RP,193.08379,2.89,    ND,    ND,1319400,6258600,unknown
3143_RP,RP,193.96362,1.398,536230,    ND,648470,    ND,unknown
3157_RP,RP,194.10237,0.703,1180800,    ND,    ND,    ND,unknown
3160_RP,RP,194.11769,0.901,    ND,    ND,1533500,861350,unknown
3177_RP,RP,194.15411,6.615,    ND,    ND,    ND,1651300,unknown
3178_RP,RP,194.15413,6.952,    ND,    ND,    ND,2026200,unknown
3180_RP,RP,194.15417,2.577,    ND,    ND,6869800,6280900,unknown
3191_RP,RP,194.8782,0.658,    ND,    ND,2060200,804050,unknown
1193_HILICNeg,HILICNeg,194.9272,14.9,    ND,    ND,1597600000,778030000,unknown
3192_RP,RP,194.9313,0.661,    ND,    ND,647610,1004300,unknown
1052_HILICPos,HILICPos,195.06248,2.228,    ND,    ND,1211400,3327900,unknown
3205_RP,RP,195.06313,1.485,    ND,    ND,    ND,2051100,unknown
3215_RP,RP,195.0994,4.551,    ND,    ND,    ND,5143300,unknown
3216_RP,RP,195.09944,4.739,    ND,    ND,    ND,2986300,unknown
3229_RP,RP,195.13828,7.033,    ND,    ND,1336200,1298600,unknown
3251_RP,RP,196.02827,1.053,    ND,    ND,    ND,1190500,unknown
1057_HILICPos,HILICPos,196.097,8.343,2176700,    ND,    ND,    ND,unknown
1060_HILICPos,HILICPos,196.13344,2.151,    ND,    ND,19983000,    ND,unknown
3275_RP,RP,196.16954,7.504,    ND,    ND,    ND,47761000,unknown
3286_RP,RP,196.16972,7.189,    ND,    ND,    ND,8502200,unknown
3293_RP,RP,196.86491,0.66,5205700,2378900,41337000,21289000,unknown
3301_RP,RP,197.06317,5.967,    ND,    ND,467030,    ND,unknown
1067_HILICPos,HILICPos,197.08087,2.268,    ND,    ND,2017200,5313900,unknown
1233_HILICNeg,HILICNeg,197.08176,2.232,    ND,    ND,4126900,5972700,unknown
3313_RP,RP,197.09967,1.266,    ND,1893800,1229400,    ND,unknown
3315_RP,RP,197.11742,4.706,    ND,    ND,4866100,8801500,unknown
3316_RP,RP,197.11743,4.118,    ND,    ND,3223300,3047300,unknown
3320_RP,RP,197.11751,5.564,    ND,    ND,    ND,817160,unknown
1070_HILICPos,HILICPos,197.12836,2.238,    ND,    ND,4431100,3373600,unknown
3332_RP,RP,197.94127,1.416,4701700,3928300,    ND,    ND,unknown
1077_HILICPos,HILICPos,198.08504,12.072,1435100,    ND,    ND,    ND,unknown
3349_RP,RP,198.12366,0.813,    ND,    ND,    ND,681140,unknown
3356_RP,RP,198.14896,6.358,    ND,    ND,1216300,1037200,unknown
3371_RP,RP,198.18547,7.647,    ND,    ND,    ND,111170000,unknown
3372_RP,RP,198.18547,7.953,    ND,    ND,    ND,1232900,unknown
3381_RP,RP,198.86192,0.66,4560600,2304800,40884000,21082000,unknown
3383_RP,RP,198.95705,0.663,    ND,    ND,9654400,    ND,unknown
1257_HILICNeg,HILICNeg,199.06099,2.227,    ND,    ND,7618000,11575000,unknown
3400_RP,RP,199.09679,3.021,    ND,    ND,    ND,2833900,unknown
1088_HILICPos,HILICPos,199.12698,6.037,440690000,419610000,    ND,    ND,unknown
3407_RP,RP,199.13326,7.217,    ND,    ND,    ND,723220,unknown
3408_RP,RP,199.1685,0.739,33291000,3135800,    ND,    ND,unknown
1272_HILICNeg,HILICNeg,200.00211,3.493,83113000,    ND,    ND,    ND,unknown
1095_HILICPos,HILICPos,200.09178,2.249,    ND,    ND,1488900,1093000,unknown
3450_RP,RP,200.10329,0.908,    ND,    ND,1698200,1826000,unknown
3453_RP,RP,200.12816,0.92,    ND,    ND,746190,    ND,unknown
1097_HILICPos,HILICPos,200.12843,2.244,    ND,    ND,3970400,3486400,unknown
3483_RP,RP,200.85901,0.663,1418900,706960,12982000,6727600,unknown
3484_RP,RP,200.87697,0.65,187520,206520,1358400,995940,unknown
3485_RP,RP,200.9527,0.659,    ND,    ND,6080000,    ND,unknown
3495_RP,RP,201.06564,0.873,    ND,    ND,1654600,    ND,unknown
1100_HILICPos,HILICPos,201.06593,2.23,    ND,    ND,    ND,542840,unknown
3498_RP,RP,201.07333,1.224,    ND,    ND,3613000,    ND,unknown
3510_RP,RP,201.11226,4.136,    ND,    ND,    ND,1545600,unknown
3511_RP,RP,201.11226,4.826,    ND,    ND,1104800,4466500,unknown
1294_HILICNeg,HILICNeg,201.11296,2.282,    ND,    ND,    ND,6281800,unknown
3535_RP,RP,202.06857,0.817,    ND,    ND,1096000,    ND,unknown
3537_RP,RP,202.07016,9.42,2487000,    ND,    ND,    ND,unknown
3548_RP,RP,202.14377,5.289,    ND,    ND,381520,362150,unknown
3551_RP,RP,202.14392,4.468,    ND,    ND,    ND,6357200,unknown
3552_RP,RP,202.14397,3.902,    ND,    ND,    ND,1889400,unknown
3553_RP,RP,202.14397,1.852,    ND,    ND,    ND,8035800,unknown
1113_HILICPos,HILICPos,202.14398,2.261,    ND,    ND,    ND,1119800,unknown
3559_RP,RP,202.21655,6.569,9204100,    ND,    ND,    ND,unknown
3565_RP,RP,202.85599,0.662,152730,    ND,1220000,669090,unknown
3566_RP,RP,202.87401,0.655,113380,131560,736590,629520,unknown
3569_RP,RP,202.95935,0.85,    ND,    ND,426340,    ND,unknown
1311_HILICNeg,HILICNeg,202.97852,3.765,23324000,    ND,    ND,    ND,unknown
3570_RP,RP,202.99342,0.782,    ND,    ND,8048900,8009200,unknown
3573_RP,RP,203.05261,0.706,    ND,    ND,703720,    ND,unknown
3587_RP,RP,203.10271,0.777,4623400,3480600,2152500,    ND,unknown
3596_RP,RP,203.12811,6.292,    ND,    ND,    ND,1102200,unknown
1324_HILICNeg,HILICNeg,203.12862,2.265,    ND,    ND,    ND,3042200,unknown
3597_RP,RP,203.13916,2.178,    ND,    ND,    ND,401370,unknown
3598_RP,RP,203.13921,0.965,    ND,3237100,620080,7082000,unknown
3600_RP,RP,203.13933,1.153,    ND,3318800,    ND,5921700,unknown
1123_HILICPos,HILICPos,204.04401,6.888,    ND,1264300,    ND,    ND,unknown
1124_HILICPos,HILICPos,204.06583,2.233,    ND,    ND,    ND,386850,unknown
1126_HILICPos,HILICPos,204.10225,2.193,    ND,    ND,2098500,1063700,unknown
3627_RP,RP,204.10391,0.712,453040,436980,    ND,    ND,unknown
3628_RP,RP,204.12305,0.906,    ND,    ND,1284100,1168100,unknown
3629_RP,RP,204.12317,0.779,1774600,546840,588800,190710,unknown
3632_RP,RP,204.12332,2.649,    ND,    ND,276320,2672600,unknown
1128_HILICPos,HILICPos,204.12338,7.852,3371400,    ND,3607900,    ND,unknown
3634_RP,RP,204.12338,3.246,    ND,    ND,1819000,5458100,unknown
3643_RP,RP,204.15961,6.094,    ND,    ND,    ND,1089300,unknown
3645_RP,RP,204.15965,3.103,    ND,    ND,    ND,4534500,unknown
3646_RP,RP,204.15974,2.972,    ND,    ND,    ND,1800400,unknown
3653_RP,RP,204.90059,0.752,    ND, 54263,    ND,    ND,unknown
3677_RP,RP,205.09732,4.301,    ND,    ND,    ND,1052000,unknown
3678_RP,RP,205.09734,1.886,    ND,    ND,490010,    ND,L-Tryptophan
3683_RP,RP,205.14371,5.711,    ND,    ND,1893300,9692200,unknown
3708_RP,RP,206.10251,1.553,    ND,    ND,    ND,2776700,unknown
1147_HILICPos,HILICPos,206.13885,2.297,    ND,    ND,596670,866130,unknown
3720_RP,RP,206.13885,1.055,709540,    ND,1217800,876140,unknown
3737_RP,RP,206.89383,0.67,    ND,    ND,26187000,13111000,unknown
3739_RP,RP,206.93114,0.673,    ND,    ND, 93702,    ND,unknown
1150_HILICPos,HILICPos,207.06555,2.245,    ND,    ND,474680,761810,unknown
3757_RP,RP,207.10188,3.827,    ND,    ND,490720,1294600,unknown
3758_RP,RP,207.1051,0.957,    ND,    ND,586110,    ND,unknown
1154_HILICPos,HILICPos,207.1131,2.25,    ND,    ND,5517200,4356800,unknown
3771_RP,RP,207.57997,9.206,    ND,    ND,    ND,165260,unknown
1163_HILICPos,HILICPos,208.13338,2.132,    ND,    ND,3285200,1299700,unknown
3808_RP,RP,208.19077,2.958,    ND,    ND,    ND,12137000,unknown
3810_RP,RP,208.19093,5.795,    ND,    ND,    ND,485740,unknown
3818_RP,RP,208.57516,7.735,    ND,    ND,    ND,32270000,unknown
3832_RP,RP,208.89085,0.666,    ND,    ND,16878000,8582300,unknown
1385_HILICNeg,HILICNeg,208.93465,10.685,    ND,    ND,97214000,    ND,unknown
3836_RP,RP,209.0237,0.881,    ND,450150,    ND,    ND,unknown
1388_HILICNeg,HILICNeg,209.04552,2.259,    ND,    ND,1610200,    ND,unknown
3846_RP,RP,209.07858,2.126,    ND,    ND,    ND,2168900,unknown
3852_RP,RP,209.10207,1.086,    ND,    ND,18828000,    ND,unknown
3855_RP,RP,209.13841,1.48,    ND,    ND,22986000,    ND,unknown
3857_RP,RP,209.16486,2.22,4058400,    ND,9732200,    ND,unknown
1171_HILICPos,HILICPos,209.16489,2.23,3651900,    ND,9240500,    ND,unknown
1175_HILICPos,HILICPos,210.0952,2.171,    ND,    ND,4414700,5169200,unknown
3892_RP,RP,210.11018,3.897,    ND,    ND,621260,593120,unknown
1177_HILICPos,HILICPos,210.1127,2.247,    ND,    ND,4359900,3702700,unknown
3897_RP,RP,210.12808,6.172,    ND,    ND,386570,    ND,unknown
3898_RP,RP,210.13376,0.92,    ND,    ND,2284100,1137300,unknown
3904_RP,RP,210.17014,1.203,    ND,    ND,1423300,    ND,unknown
3918_RP,RP,210.88783,0.667,    ND,    ND,2553000,1240500,unknown
3932_RP,RP,211.09416,5.121,    ND,    ND,488740,571800,unknown
1184_HILICPos,HILICPos,211.10568,9.388,1282600,    ND,    ND,    ND,unknown
3936_RP,RP,211.10779,1.017,    ND,    ND,1029300,    ND,unknown
3947_RP,RP,211.13315,5.396,    ND,    ND,    ND,3770500,unknown
1187_HILICPos,HILICPos,211.14435,2.244,    ND,    ND,938970,845160,unknown
3984_RP,RP,212.12833,0.92,    ND,    ND,1026500,585200,unknown
3989_RP,RP,212.16457,7.225,    ND,    ND,1416000,    ND,unknown
3998_RP,RP,212.17593,5.172,    ND,    ND,    ND,894570,unknown
4003_RP,RP,212.83875,0.664,693570,    ND,2547200,1213900,unknown
4004_RP,RP,212.90274,0.657,    ND,    ND, 41887,    ND,unknown
4037_RP,RP,213.17792,6.011,309920,    ND,1536200,    ND,unknown
1207_HILICPos,HILICPos,214.14386,2.241,    ND,    ND,4710700,    ND,unknown
4100_RP,RP,214.32115,7.723,    ND,    ND,    ND,172940,unknown
4103_RP,RP,214.83586,0.664,579880,    ND,2498100,1177300,unknown
1208_HILICPos,HILICPos,215.08089,14.925,    ND,    ND,102590000,102910000,unknown
4123_RP,RP,215.12776,5.433,    ND,    ND,    ND,405070,unknown
4126_RP,RP,215.1279,6.172,    ND,    ND,719650,    ND,unknown
4127_RP,RP,215.1279,4.262,    ND,    ND,    ND,734570,unknown
4132_RP,RP,215.16443,8.052,    ND,    ND,    ND,528020,unknown
4139_RP,RP,215.59364,8.922,    ND,    ND,    ND,109870,unknown
4144_RP,RP,215.89699,0.653,    ND, 26945,6264700,2854500,unknown
1213_HILICPos,HILICPos,216.12299,2.254,    ND,    ND,4497200,2910200,unknown
4173_RP,RP,216.15935,6.359,    ND,    ND,715780,659730,unknown
4178_RP,RP,216.15948,4.906,    ND,    ND,    ND,624170,unknown
4179_RP,RP,216.15948,5.694,    ND,    ND,638380,539230,unknown
1216_HILICPos,HILICPos,216.15971,2.227,    ND,    ND,1068900,    ND,unknown
